Category	English	Chinese	Path
BUILDINGS.PREFABS	Duplicant Checkpoint	複製人檢查點	STRINGS.BUILDINGS.PREFABS.CHECKPOINT.NAME
BUILDINGS.PREFABS	Emulsifier	乳化器	STRINGS.BUILDINGS.PREFABS.CHEMICALREFINERY.NAME
BUILDINGS.PREFABS	Bleach Stone Hopper	漂白石料斗	STRINGS.BUILDINGS.PREFABS.CHLORINATOR.NAME
BUILDINGS.PREFABS	Clothing Refashionator	服裝改造機	STRINGS.BUILDINGS.PREFABS.CLOTHINGALTERATIONSTATION.NAME
BUILDINGS.PREFABS	Textile Loom	紡織機	STRINGS.BUILDINGS.PREFABS.CLOTHINGFABRICATOR.NAME
BUILDINGS.PREFABS	Command Capsule	指揮太空艙	STRINGS.BUILDINGS.PREFABS.CLUSTERCOMMANDMODULE.NAME
BUILDINGS.PREFABS	Interior Hatch	室內艙口	STRINGS.BUILDINGS.PREFABS.CLUSTERCRAFTINTERIORDOOR.NAME
BUILDINGS.PREFABS	Telescope	望遠鏡	STRINGS.BUILDINGS.PREFABS.CLUSTERTELESCOPE.NAME
BUILDINGS.PREFABS	Enclosed Telescope	天文望遠鏡	STRINGS.BUILDINGS.PREFABS.CLUSTERTELESCOPEENCLOSED.NAME
BUILDINGS.PREFABS	Carbon Dioxide Engine	二氧化碳引擎	STRINGS.BUILDINGS.PREFABS.CO2ENGINE.NAME
BUILDINGS.PREFABS	Carbon Skimmer	除碳機	STRINGS.BUILDINGS.PREFABS.CO2SCRUBBER.NAME
BUILDINGS.PREFABS	Space Scanner	太空雷達	STRINGS.BUILDINGS.PREFABS.COMETDETECTOR.NAME
BUILDINGS.PREFABS	Compost	堆肥	STRINGS.BUILDINGS.PREFABS.COMPOST.NAME
BUILDINGS.PREFABS	Marked for Emptying	標記為清空	STRINGS.BUILDINGS.PREFABS.CONDUIT.STATUS_ITEM.NAME
BUILDINGS.PREFABS	Conduction Panel	導熱板	STRINGS.BUILDINGS.PREFABS.CONTACTCONDUCTIVEPIPEBRIDGE.NAME
BUILDINGS.PREFABS	Electric Grill	電烤爐	STRINGS.BUILDINGS.PREFABS.COOKINGSTATION.NAME
BUILDINGS.PREFABS	Corner Trim	邊角飾件	STRINGS.BUILDINGS.PREFABS.CORNERMOULDING.NAME
BUILDINGS.PREFABS	Virtual Planetarium	虛擬天文館	STRINGS.BUILDINGS.PREFABS.COSMICRESEARCHCENTER.NAME
BUILDINGS.PREFABS	Crafting Station	工藝台	STRINGS.BUILDINGS.PREFABS.CRAFTINGTABLE.NAME
BUILDINGS.PREFABS	Airborne Critter Trap	飛行小動物陷阱	STRINGS.BUILDINGS.PREFABS.CREATUREAIRTRAP.NAME
BUILDINGS.PREFABS	Critter Drop-Off	動物放置點	STRINGS.BUILDINGS.PREFABS.CREATUREDELIVERYPOINT.NAME
BUILDINGS.PREFABS	Critter Feeder	動物餵食器	STRINGS.BUILDINGS.PREFABS.CREATUREFEEDER.NAME
BUILDINGS.PREFABS	Critter Trap	小動物陷阱	STRINGS.BUILDINGS.PREFABS.CREATUREGROUNDTRAP.NAME
BUILDINGS.PREFABS	Critter Condo	小動物公寓	STRINGS.BUILDINGS.PREFABS.CRITTERCONDO.NAME
BUILDINGS.PREFABS	Critter Pick-Up	小動物移取點	STRINGS.BUILDINGS.PREFABS.CRITTERPICKUP.NAME
BUILDINGS.PREFABS	Ceiling Trim	天花板飾件	STRINGS.BUILDINGS.PREFABS.CROWNMOULDING.NAME
BUILDINGS.PREFABS	Cryotank 3000	低溫艙 3000	STRINGS.BUILDINGS.PREFABS.CRYOTANK.NAME
BUILDINGS.PREFABS	Data Miner	資料探勘儀	STRINGS.BUILDINGS.PREFABS.DATAMINER.NAME
BUILDINGS.PREFABS	Decontamination Shower	淨化淋浴間	STRINGS.BUILDINGS.PREFABS.DECONTAMINATIONSHOWER.NAME
BUILDINGS.PREFABS	Deep Fryer	油炸鍋	STRINGS.BUILDINGS.PREFABS.DEEPFRYER.NAME
BUILDINGS.PREFABS	Desalinator	海水淡化機	STRINGS.BUILDINGS.PREFABS.DESALINATOR.NAME
BUILDINGS.PREFABS	Dev Generator	開發者發電機	STRINGS.BUILDINGS.PREFABS.DEVGENERATOR.NAME
BUILDINGS.PREFABS	Dev Heater	開發者加熱器	STRINGS.BUILDINGS.PREFABS.DEVHEATER.NAME
BUILDINGS.PREFABS	Dev Radbolt Generator	開發者粒子產生器	STRINGS.BUILDINGS.PREFABS.DEVHEPSPAWNER.NAME
BUILDINGS.PREFABS	Dev Life Support	開發者維生器	STRINGS.BUILDINGS.PREFABS.DEVLIFESUPPORT.NAME
BUILDINGS.PREFABS	Dev Light Source	開發者光源	STRINGS.BUILDINGS.PREFABS.DEVLIGHTGENERATOR.NAME
BUILDINGS.PREFABS	Dev Pump Gas	開發者氣體幫浦	STRINGS.BUILDINGS.PREFABS.DEVPUMPGAS.NAME
BUILDINGS.PREFABS	Dev Pump Liquid	開發者液體幫浦	STRINGS.BUILDINGS.PREFABS.DEVPUMPLIQUID.NAME
BUILDINGS.PREFABS	Dev Pump Solid	開發者固體幫浦	STRINGS.BUILDINGS.PREFABS.DEVPUMPSOLID.NAME
BUILDINGS.PREFABS	Dev Radiation Emitter	開發者輻射發射器	STRINGS.BUILDINGS.PREFABS.DEVRADIATIONGENERATOR.NAME
BUILDINGS.PREFABS	Diamond Press	鑽石製造機	STRINGS.BUILDINGS.PREFABS.DIAMONDPRESS.NAME
BUILDINGS.PREFABS	Mess Table	單人餐桌	STRINGS.BUILDINGS.PREFABS.DININGTABLE.NAME
BUILDINGS.PREFABS	Liquid Channel	液體通道	STRINGS.BUILDINGS.PREFABS.DIRECTIONALWORLDPUMPLIQUID.NAME
BUILDINGS.PREFABS	Distillation Column	蒸餾塔	STRINGS.BUILDINGS.PREFABS.DISTILLATIONCOLUMN.NAME
BUILDINGS.PREFABS	Research Portal	研究傳送通道	STRINGS.BUILDINGS.PREFABS.DLC2POITECHUNLOCKS.NAME
BUILDINGS.PREFABS	Sick Bay	醫務站	STRINGS.BUILDINGS.PREFABS.DOCTORSTATION.NAME
BUILDINGS.PREFABS	Auto	自動	STRINGS.BUILDINGS.PREFABS.DOOR.CONTROL_STATE.AUTO.NAME
BUILDINGS.PREFABS	Lock	上鎖	STRINGS.BUILDINGS.PREFABS.DOOR.CONTROL_STATE.CLOSE.NAME
BUILDINGS.PREFABS	Open	打開	STRINGS.BUILDINGS.PREFABS.DOOR.CONTROL_STATE.OPEN.NAME
BUILDINGS.PREFABS	Pneumatic Door	透氣門	STRINGS.BUILDINGS.PREFABS.DOOR.NAME
BUILDINGS.PREFABS	Egg Cracker	裂蛋器	STRINGS.BUILDINGS.PREFABS.EGGCRACKER.NAME
BUILDINGS.PREFABS	Incubator	孵化器	STRINGS.BUILDINGS.PREFABS.EGGINCUBATOR.NAME
BUILDINGS.PREFABS	Power Bank Charger	行動電源充電機	STRINGS.BUILDINGS.PREFABS.ELECTROBANKCHARGER.NAME
BUILDINGS.PREFABS	Electrolyzer	電解槽	STRINGS.BUILDINGS.PREFABS.ELECTROLYZER.NAME
BUILDINGS.PREFABS	Escape Pod	逃生艙	STRINGS.BUILDINGS.PREFABS.ESCAPEPOD.NAME
BUILDINGS.PREFABS	Espresso Machine	濃縮咖啡機	STRINGS.BUILDINGS.PREFABS.ESPRESSOMACHINE.NAME
BUILDINGS.PREFABS	Ethanol Distiller	乙醇蒸餾機	STRINGS.BUILDINGS.PREFABS.ETHANOLDISTILLERY.NAME
BUILDINGS.PREFABS	Mini-Pod	小型列印元	STRINGS.BUILDINGS.PREFABS.EXOBASEHEADQUARTERS.NAME
BUILDINGS.PREFABS	Drywall	牆板	STRINGS.BUILDINGS.PREFABS.EXTERIORWALL.NAME
BUILDINGS.PREFABS	Plywood Press	膠合板壓製機	STRINGS.BUILDINGS.PREFABS.FABRICATEDWOODMAKER.NAME
BUILDINGS.PREFABS	Window	窗戶	STRINGS.BUILDINGS.PREFABS.FACILITYBACKWALLWINDOW.NAME
BUILDINGS.PREFABS	Farm Station	農場站	STRINGS.BUILDINGS.PREFABS.FARMSTATION.NAME
BUILDINGS.PREFABS	Farm Tile	農耕磚	STRINGS.BUILDINGS.PREFABS.FARMTILE.NAME
BUILDINGS.PREFABS	Fertilizer Synthesizer	肥料廠	STRINGS.BUILDINGS.PREFABS.FERTILIZERMAKER.NAME
BUILDINGS.PREFABS	Fire Pole	消防滑桿	STRINGS.BUILDINGS.PREFABS.FIREPOLE.NAME
BUILDINGS.PREFABS	Fish Release	魚類放置點	STRINGS.BUILDINGS.PREFABS.FISHDELIVERYPOINT.NAME
BUILDINGS.PREFABS	Fish Feeder	魚類餵食器	STRINGS.BUILDINGS.PREFABS.FISHFEEDER.NAME
BUILDINGS.PREFABS	Fish Pick-Up	魚類移取點	STRINGS.BUILDINGS.PREFABS.FISHPICKUP.NAME
BUILDINGS.PREFABS	Fish Trap	捕魚陷阱	STRINGS.BUILDINGS.PREFABS.FISHTRAP.NAME
BUILDINGS.PREFABS	Lamp	立燈	STRINGS.BUILDINGS.PREFABS.FLOORLAMP.NAME
BUILDINGS.PREFABS	Weight Plate	重量板	STRINGS.BUILDINGS.PREFABS.FLOORSWITCH.NAME
BUILDINGS.PREFABS	Flower Pot	花盆	STRINGS.BUILDINGS.PREFABS.FLOWERVASE.NAME
BUILDINGS.PREFABS	Hanging Pot	吊掛花盆	STRINGS.BUILDINGS.PREFABS.FLOWERVASEHANGING.NAME
BUILDINGS.PREFABS	Aero Pot	透明花盆	STRINGS.BUILDINGS.PREFABS.FLOWERVASEHANGINGFANCY.NAME
BUILDINGS.PREFABS	Wall Pot	壁掛花盆	STRINGS.BUILDINGS.PREFABS.FLOWERVASEWALL.NAME
BUILDINGS.PREFABS	Lavatory	沖水馬桶	STRINGS.BUILDINGS.PREFABS.FLUSHTOILET.NAME
BUILDINGS.PREFABS	Airborne Critter Bait	飛行動物引誘機	STRINGS.BUILDINGS.PREFABS.FLYINGCREATUREBAIT.NAME
BUILDINGS.PREFABS	Dehydrator	食物脫水器	STRINGS.BUILDINGS.PREFABS.FOODDEHYDRATOR.NAME
BUILDINGS.PREFABS	Rehydrator	補水器	STRINGS.BUILDINGS.PREFABS.FOODREHYDRATOR.NAME
BUILDINGS.PREFABS	Ancient Specimen	遠古標本	STRINGS.BUILDINGS.PREFABS.FOSSILDIG.NAME
BUILDINGS.PREFABS	Fossil Quarry	化石採集場	STRINGS.BUILDINGS.PREFABS.FOSSILDIG_COMPLETED.NAME
BUILDINGS.PREFABS	Fossil Block	化石雕塑塊	STRINGS.BUILDINGS.PREFABS.FOSSILSCULPTURE.NAME
BUILDINGS.PREFABS	Fountain Pen	自來水筆	STRINGS.BUILDINGS.PREFABS.FOUNTAINPEN.NAME
BUILDINGS.PREFABS	Gamma Ray Oven	伽瑪射線烤箱	STRINGS.BUILDINGS.PREFABS.GAMMARAYOVEN.NAME
BUILDINGS.PREFABS	Gantry	空橋	STRINGS.BUILDINGS.PREFABS.GANTRY.NAME
BUILDINGS.PREFABS	Canister Filler	氣體裝罐器	STRINGS.BUILDINGS.PREFABS.GASBOTTLER.NAME
BUILDINGS.PREFABS	Gas Cargo Canister	氣體貨艙	STRINGS.BUILDINGS.PREFABS.GASCARGOBAY.NAME
BUILDINGS.PREFABS	Large Gas Cargo Canister	大型氣體貨艙	STRINGS.BUILDINGS.PREFABS.GASCARGOBAYCLUSTER.NAME
BUILDINGS.PREFABS	Gas Pipe	氣體管	STRINGS.BUILDINGS.PREFABS.GASCONDUIT.NAME
BUILDINGS.PREFABS	Gas Bridge	氣體橋接管	STRINGS.BUILDINGS.PREFABS.GASCONDUITBRIDGE.NAME
BUILDINGS.PREFABS	Gas Pipe Germ Sensor	氣體管病菌感測器	STRINGS.BUILDINGS.PREFABS.GASCONDUITDISEASESENSOR.NAME
BUILDINGS.PREFABS	Gas Pipe Element Sensor	氣體管元素感測器	STRINGS.BUILDINGS.PREFABS.GASCONDUITELEMENTSENSOR.NAME
BUILDINGS.PREFABS	Gas Overflow Valve	氣體溢流閥	STRINGS.BUILDINGS.PREFABS.GASCONDUITOVERFLOW.NAME
BUILDINGS.PREFABS	Priority Gas Flow	優先氣體流向	STRINGS.BUILDINGS.PREFABS.GASCONDUITPREFERENTIALFLOW.NAME
BUILDINGS.PREFABS	Radiant Gas Pipe	導熱氣體管	STRINGS.BUILDINGS.PREFABS.GASCONDUITRADIANT.NAME
BUILDINGS.PREFABS	Gas Pipe Thermo Sensor	氣體管溫度感測器	STRINGS.BUILDINGS.PREFABS.GASCONDUITTEMPERATURESENSOR.NAME
BUILDINGS.PREFABS	Gas Filter	氣體篩選器	STRINGS.BUILDINGS.PREFABS.GASFILTER.NAME
BUILDINGS.PREFABS	Gas Meter Valve	氣體計量閥	STRINGS.BUILDINGS.PREFABS.GASLIMITVALVE.NAME
BUILDINGS.PREFABS	Gas Shutoff	氣體開關閥	STRINGS.BUILDINGS.PREFABS.GASLOGICVALVE.NAME
BUILDINGS.PREFABS	Mini Gas Pump	迷你氣體幫浦	STRINGS.BUILDINGS.PREFABS.GASMINIPUMP.NAME
BUILDINGS.PREFABS	Airflow Tile	透氣磚	STRINGS.BUILDINGS.PREFABS.GASPERMEABLEMEMBRANE.NAME
BUILDINGS.PREFABS	Gas Pump	氣體幫浦	STRINGS.BUILDINGS.PREFABS.GASPUMP.NAME
BUILDINGS.PREFABS	Gas Reservoir	儲氣槽	STRINGS.BUILDINGS.PREFABS.GASRESERVOIR.NAME
BUILDINGS.PREFABS	Gas Valve	氣體調節閥	STRINGS.BUILDINGS.PREFABS.GASVALVE.NAME
BUILDINGS.PREFABS	Gas Vent	排氣口	STRINGS.BUILDINGS.PREFABS.GASVENT.NAME
BUILDINGS.PREFABS	High Pressure Gas Vent	高壓排氣口	STRINGS.BUILDINGS.PREFABS.GASVENTHIGHPRESSURE.NAME
BUILDINGS.PREFABS	Coal Generator	燃煤發電機	STRINGS.BUILDINGS.PREFABS.GENERATOR.NAME
BUILDINGS.PREFABS	Omniprinter	多功能列印機	STRINGS.BUILDINGS.PREFABS.GENERICFABRICATOR.NAME
BUILDINGS.PREFABS	Neural Vacillator	神經振盪器	STRINGS.BUILDINGS.PREFABS.GENESHUFFLER.NAME
BUILDINGS.PREFABS	Botanical Analyzer	植物分析儀	STRINGS.BUILDINGS.PREFABS.GENETICANALYSISSTATION.NAME
BUILDINGS.PREFABS	Geothermal Heat Pump	地源熱幫浦	STRINGS.BUILDINGS.PREFABS.GEOTHERMALCONTROLLER.NAME
BUILDINGS.PREFABS	Geo Vent	地理排放口	STRINGS.BUILDINGS.PREFABS.GEOTHERMALVENT.NAME
BUILDINGS.PREFABS	Geotuner	地理調諧儀	STRINGS.BUILDINGS.PREFABS.GEOTUNER.NAME
BUILDINGS.PREFABS	Glass Jelly Ceiling Light	水母玻璃天花板燈	STRINGS.BUILDINGS.PREFABS.GLASSCEILINGLIGHT.NAME
BUILDINGS.PREFABS	Glass Backwall	玻璃牆板	STRINGS.BUILDINGS.PREFABS.GLASSEXTERIORWALL.NAME
BUILDINGS.PREFABS	Glass Forge	玻璃廠	STRINGS.BUILDINGS.PREFABS.GLASSFORGE.NAME
BUILDINGS.PREFABS	Window Tile	玻璃磚	STRINGS.BUILDINGS.PREFABS.GLASSTILE.NAME
BUILDINGS.PREFABS	Gas Range	瓦斯爐	STRINGS.BUILDINGS.PREFABS.GOURMETCOOKINGSTATION.NAME
BUILDINGS.PREFABS	Tasteful Memorial	雅緻的紀念碑	STRINGS.BUILDINGS.PREFABS.GRAVE.NAME
BUILDINGS.PREFABS	Toilet	廁所	STRINGS.BUILDINGS.PREFABS.GRAVITASBATHROOMSTALL.NAME
BUILDINGS.PREFABS	Pajama Cubby	睡衣間	STRINGS.BUILDINGS.PREFABS.GRAVITASCONTAINER.NAME
BUILDINGS.PREFABS	Critter Flux-O-Matic	小動物變異器	STRINGS.BUILDINGS.PREFABS.GRAVITASCREATUREMANIPULATOR.NAME
BUILDINGS.PREFABS	Gravitas Door	引力科技大門	STRINGS.BUILDINGS.PREFABS.GRAVITASDOOR.NAME
BUILDINGS.PREFABS	LED Light	LED 燈	STRINGS.BUILDINGS.PREFABS.GRAVITASLABLIGHT.NAME
BUILDINGS.PREFABS	Gravitas Pedestal	引力科技臺座	STRINGS.BUILDINGS.PREFABS.GRAVITASPEDESTAL.NAME
BUILDINGS.PREFABS	Gunk Extractor	黏渣提取器	STRINGS.BUILDINGS.PREFABS.GUNKEMPTIER.NAME
BUILDINGS.PREFABS	Spacefarer Module	乘員艙	STRINGS.BUILDINGS.PREFABS.HABITATMODULEMEDIUM.NAME
BUILDINGS.PREFABS	Solo Spacefarer Nosecone	單座鼻錐	STRINGS.BUILDINGS.PREFABS.HABITATMODULESMALL.NAME
BUILDINGS.PREFABS	Hand Sanitizer	手部消毒機	STRINGS.BUILDINGS.PREFABS.HANDSANITIZER.NAME
BUILDINGS.PREFABS	Printing Pod	列印元	STRINGS.BUILDINGS.PREFABS.HEADQUARTERS.NAME
BUILDINGS.PREFABS	Liquid Heatquilizer	液體除熱機	STRINGS.BUILDINGS.PREFABS.HEATCOMPRESSOR.NAME
BUILDINGS.PREFABS	Radbolt Chamber	輻射粒子儲存槽	STRINGS.BUILDINGS.PREFABS.HEPBATTERY.NAME
BUILDINGS.PREFABS	Radbolt Joint Plate	輻射粒子連接板	STRINGS.BUILDINGS.PREFABS.HEPBRIDGETILE.NAME
BUILDINGS.PREFABS	Radbolt Engine	輻射粒子引擎	STRINGS.BUILDINGS.PREFABS.HEPENGINE.NAME
BUILDINGS.PREFABS	Radbolt Reflector	輻射粒子反射器	STRINGS.BUILDINGS.PREFABS.HIGHENERGYPARTICLEREDIRECTOR.NAME
BUILDINGS.PREFABS	Radbolt Generator	輻射粒子產生器	STRINGS.BUILDINGS.PREFABS.HIGHENERGYPARTICLESPAWNER.NAME
BUILDINGS.PREFABS	Heavi-Watt Wire	高壓電線	STRINGS.BUILDINGS.PREFABS.HIGHWATTAGEWIRE.NAME
BUILDINGS.PREFABS	Printerceptor	印製攔截器	STRINGS.BUILDINGS.PREFABS.HIJACKEDHEADQUARTERS.NAME
BUILDINGS.PREFABS	Hot Tub	熱水澡盆	STRINGS.BUILDINGS.PREFABS.HOTTUB.NAME
BUILDINGS.PREFABS	Hydrogen Engine	氫氣引擎	STRINGS.BUILDINGS.PREFABS.HYDROGENENGINE.NAME
BUILDINGS.PREFABS	Hydrogen Generator	氫氣發電機	STRINGS.BUILDINGS.PREFABS.HYDROGENGENERATOR.NAME
BUILDINGS.PREFABS	Hydroponic Farm	水耕磚	STRINGS.BUILDINGS.PREFABS.HYDROPONICFARM.NAME
BUILDINGS.PREFABS	Ice-E Fan	涼風扇	STRINGS.BUILDINGS.PREFABS.ICECOOLEDFAN.NAME
BUILDINGS.PREFABS	Ice Liquefier	融冰壺	STRINGS.BUILDINGS.PREFABS.ICEKETTLE.NAME
BUILDINGS.PREFABS	Ice Maker	製冰機	STRINGS.BUILDINGS.PREFABS.ICEMACHINE.NAME
BUILDINGS.PREFABS	Ice Block	冰塊	STRINGS.BUILDINGS.PREFABS.ICESCULPTURE.NAME
BUILDINGS.PREFABS	Insulated Door	隔熱門	STRINGS.BUILDINGS.PREFABS.INSULATEDDOOR.NAME
BUILDINGS.PREFABS	Insulated Gas Pipe	隔熱氣體管	STRINGS.BUILDINGS.PREFABS.INSULATEDGASCONDUIT.NAME
BUILDINGS.PREFABS	Insulated Liquid Pipe	隔熱液體管	STRINGS.BUILDINGS.PREFABS.INSULATEDLIQUIDCONDUIT.NAME
BUILDINGS.PREFABS	Insulated Wire	隔熱電線	STRINGS.BUILDINGS.PREFABS.INSULATEDWIRE.NAME
BUILDINGS.PREFABS	Insulated Tile	隔熱磚	STRINGS.BUILDINGS.PREFABS.INSULATIONTILE.NAME
BUILDINGS.PREFABS	Pedestal	臺座	STRINGS.BUILDINGS.PREFABS.ITEMPEDESTAL.NAME
BUILDINGS.PREFABS	Jet Suit Dock	飛行衣存放櫃	STRINGS.BUILDINGS.PREFABS.JETSUITLOCKER.NAME
BUILDINGS.PREFABS	Jet Suit Checkpoint	飛行衣檢查點	STRINGS.BUILDINGS.PREFABS.JETSUITMARKER.NAME
BUILDINGS.PREFABS	Juicer	果汁機	STRINGS.BUILDINGS.PREFABS.JUICER.NAME
BUILDINGS.PREFABS	Petroleum Engine	石油引擎	STRINGS.BUILDINGS.PREFABS.KEROSENEENGINE.NAME
BUILDINGS.PREFABS	Small Petroleum Engine	小型石油引擎	STRINGS.BUILDINGS.PREFABS.KEROSENEENGINECLUSTERSMALL.NAME
BUILDINGS.PREFABS	Kiln	窯廠	STRINGS.BUILDINGS.PREFABS.KILN.NAME
BUILDINGS.PREFABS	Ladder	梯子	STRINGS.BUILDINGS.PREFABS.LADDER.NAME
BUILDINGS.PREFABS	Ladder Bed	梯子床	STRINGS.BUILDINGS.PREFABS.LADDERBED.NAME
BUILDINGS.PREFABS	Plastic Ladder	塑膠梯子	STRINGS.BUILDINGS.PREFABS.LADDERFAST.NAME
BUILDINGS.PREFABS	Spacefarer Deploy Pod	著陸艙	STRINGS.BUILDINGS.PREFABS.LANDING_POD.NAME
BUILDINGS.PREFABS	Targeting Beacon	定位信標	STRINGS.BUILDINGS.PREFABS.LANDINGBEACON.NAME
BUILDINGS.PREFABS	Wall Planter	牆種植箱	STRINGS.BUILDINGS.PREFABS.LARGEBACKWALLFARM.NAME
BUILDINGS.PREFABS	Large Discharger	大型放電器	STRINGS.BUILDINGS.PREFABS.LARGEELECTROBANKDISCHARGER.NAME
BUILDINGS.PREFABS	Rocket Platform	火箭平台	STRINGS.BUILDINGS.PREFABS.LAUNCHPAD.NAME
